user_id,tw_lag7_watched,tw_lag6_watched,tw_lag5_watched,tw_lag4_watched,tw_lag3_watched,tw_lag2_watched,tw_lag1_watched,average_completion,total_sessions,num_genre,num_weekday,num_timeday,most_genre_Children's,most_genre_Comedy,most_genre_Drama,most_genre_Entertainment,most_genre_Factual,most_genre_Learning,most_genre_Music,most_genre_News,most_genre_Religion & Ethics,most_genre_Sport,most_genre_Weather,most_weekday_weekday_0,most_weekday_weekday_1,most_weekday_weekday_2,most_weekday_weekday_3,most_weekday_weekday_4,most_weekday_weekday_5,most_weekday_weekday_6,most_timeday_Afternoon,most_timeday_Evening,most_timeday_Morning,most_timeday_Night
TFWHNT,70.90138333333334,57.356533333333324,97.76131666666667,21.94575,5.951216666666668,48.533366666666666,204.13308333333333,0.3679453614977002,67,7,7,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
TFXPQI,118.62866666666666,97.01508333333334,183.62058333333331,0.0,3.0008833333333333,0.0,0.0,0.7203368990590489,9,3,5,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
TFYXBV,0.8970166666666667,7.958266666666666,0.16283333333333333,0.0,1.0076833333333335,61.60756666666667,0.0,0.14403861590038314,11,5,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TGCJFB,147.41971666666666,229.20573333333334,118.9287,0.0,0.0,0.0,0.0,0.7314521753890375,13,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
TGDNVW,136.1708333333333,57.66231666666666,150.09636666666665,305.74729999999994,88.05773333333333,186.19386666666665,186.15085000000002,0.21443793102079098,103,5,7,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
TGEHDR,124.04825,0.0,13.259866666666667,0.0,0.0,0.0,0.0,0.24415767206349206,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
TGEUGZ,382.8780166666668,485.74396666666667,562.6432833333332,74.30013333333333,483.0668666666668,513.1087666666666,443.11211666666674,0.4244708640589685,146,8,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
TGGAQT,2286.6778999999997,446.5075333333334,2344.903616666667,0.0,0.0,0.0,0.0,0.6430102773591052,64,7,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
TGMCYP,0.11333333333333333,114.51221666666666,3.1936666666666667,1.8262666666666667,131.80438333333333,354.7089833333334,17.43835,0.22297918303260608,57,5,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
TGMZFX,0.33358333333333334,2.7464999999999997,0.0,0.0,0.0,0.0,0.0,0.0964801883780332,3,3,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
